Accession,Description
D3Z667,"Dynein heavy chain 2, axonemal OS=Mus musculus GN=Dnah2 PE=4 SV=1 - [D3Z667_MOUSE]"
Q05A62,"Dynein light chain 1, axonemal OS=Mus musculus GN=Dnal1 PE=2 SV=2 - [DNAL1_MOUSE]"
P63168,"Dynein light chain 1, cytoplasmic OS=Mus musculus GN=Dynll1 PE=1 SV=1 - [DYL1_MOUSE]"
Q9CRD4,Dysbindin domain-containing protein 2 OS=Mus musculus GN=Dbndd2 PE=2 SV=1 - [DBND2_MOUSE]
S4R1P5,Dystonin OS=Mus musculus GN=Dst PE=1 SV=1 - [S4R1P5_MOUSE]
Q810L3,E3 ubiquitin-protein ligase CHFR OS=Mus musculus GN=Chfr PE=1 SV=1 - [CHFR_MOUSE]
Q69ZR2,E3 ubiquitin-protein ligase HECTD1 OS=Mus musculus GN=Hectd1 PE=1 SV=2 - [HECD1_MOUSE]
Q7TMY8,E3 ubiquitin-protein ligase HUWE1 OS=Mus musculus GN=Huwe1 PE=1 SV=5 - [HUWE1_MOUSE]
Q80UY2,E3 ubiquitin-protein ligase KCMF1 OS=Mus musculus GN=Kcmf1 PE=2 SV=1 - [KCMF1_MOUSE]
Q69ZF8,E3 ubiquitin-protein ligase MSL2 OS=Mus musculus GN=Msl2 PE=2 SV=2 - [MSL2_MOUSE]
Q8CFI0,E3 ubiquitin-protein ligase NEDD4-like OS=Mus musculus GN=Nedd4l PE=1 SV=2 - [NED4L_MOUSE]
Q8BST6,E3 ubiquitin-protein ligase pellino homolog 2 OS=Mus musculus GN=Peli2 PE=1 SV=2 - [PELI2_MOUSE]
Q80U04,E3 ubiquitin-protein ligase Praja-2 OS=Mus musculus GN=Pja2 PE=1 SV=2 - [PJA2_MOUSE]
Q5SVR5,E3 ubiquitin-protein ligase RNF130 OS=Mus musculus GN=Rnf130 PE=4 SV=1 - [Q5SVR5_MOUSE]
D3YUJ1,E3 ubiquitin-protein ligase RNF181 OS=Mus musculus GN=Rnf181 PE=4 SV=1 - [D3YUJ1_MOUSE]
Q6PCX9,E3 ubiquitin-protein ligase TRIM37 OS=Mus musculus GN=Trim37 PE=1 SV=1 - [TRI37_MOUSE]
Q6WKZ8,E3 ubiquitin-protein ligase UBR2 OS=Mus musculus GN=Ubr2 PE=1 SV=2 - [UBR2_MOUSE]
Q9R1E6,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2 OS=Mus musculus GN=Enpp2 PE=1 SV=3 - [ENPP2_MOUSE]
Q6PCQ6,EF-hand calcium-binding domain-containing protein 14 OS=Mus musculus GN=Efcab14 PE=2 SV=1 - [Q6PCQ6_MOUSE]
Q3UP38,EF-hand calcium-binding domain-containing protein 4B OS=Mus musculus GN=Cracr2a PE=2 SV=1 - [EFC4B_MOUSE]
Q8BYW9,EGF domain-specific O-linked N-acetylglucosamine transferase OS=Mus musculus GN=Eogt PE=1 SV=1 - [EOGT_MOUSE]
Q91YE3,Egl nine homolog 1 OS=Mus musculus GN=Egln1 PE=2 SV=2 - [EGLN1_MOUSE]
Q8K0D5,"Elongation factor G, mitochondrial OS=Mus musculus GN=Gfm1 PE=2 SV=1 - [EFGM_MOUSE]"
Q99L85,Elongator complex protein 5 OS=Mus musculus GN=Elp5 PE=2 SV=1 - [ELP5_MOUSE]
P70429,Ena/VASP-like protein OS=Mus musculus GN=Evl PE=1 SV=2 - [EVL_MOUSE]
O08600,"Endonuclease G, mitochondrial OS=Mus musculus GN=Endog PE=2 SV=1 - [NUCG_MOUSE]"
Q9JMG1,Endothelial differentiation-related factor 1 OS=Mus musculus GN=Edf1 PE=1 SV=1 - [EDF1_MOUSE]
Q9JMI0,Endothelin-converting enzyme-like 1 OS=Mus musculus GN=Ecel1 PE=2 SV=2 - [ECEL1_MOUSE]
Q8BHL5,Engulfment and cell motility protein 2 OS=Mus musculus GN=Elmo2 PE=1 SV=1 - [ELMO2_MOUSE]
Q8C0I4,Enhancer of polycomb homolog 2 OS=Mus musculus GN=Epc2 PE=2 SV=2 - [EPC2_MOUSE]
G3UW85,Enhancer of rudimentary homolog OS=Mus musculus GN=Erh PE=4 SV=1 - [G3UW85_MOUSE]
Q8BGB7,Enolase-phosphatase E1 OS=Mus musculus GN=Enoph1 PE=2 SV=1 - [ENOPH_MOUSE]
D3YWN7,Ensconsin OS=Mus musculus GN=Map7 PE=4 SV=2 - [D3YWN7_MOUSE]
Q9D952,Envoplakin OS=Mus musculus GN=Evpl PE=2 SV=3 - [EVPL_MOUSE]
Q6X7S9,EP300-interacting inhibitor of differentiation 2 OS=Mus musculus GN=Eid2 PE=1 SV=1 - [EID2_MOUSE]
O09127,Ephrin type-A receptor 8 OS=Mus musculus GN=Epha8 PE=1 SV=2 - [EPHA8_MOUSE]
O35393,Ephrin-B3 OS=Mus musculus GN=Efnb3 PE=1 SV=1 - [EFNB3_MOUSE]
Q08509,Epidermal growth factor receptor kinase substrate 8 OS=Mus musculus GN=Eps8 PE=1 SV=2 - [EPS8_MOUSE]
Q6GUQ1,Epidermal growth factor-like protein 8 OS=Mus musculus GN=Egfl8 PE=2 SV=2 - [EGFL8_MOUSE]
Q5M8N4,Epimerase family protein SDR39U1 OS=Mus musculus GN=Sdr39u1 PE=2 SV=1 - [D39U1_MOUSE]
Q8R180,ERO1-like protein alpha OS=Mus musculus GN=Ero1l PE=1 SV=2 - [ERO1A_MOUSE]
Q6GQV7,Erythroid differentiation-related factor 1 OS=Mus musculus GN=Edrf1 PE=2 SV=1 - [EDRF1_MOUSE]
V9GXK9,ETS-related transcription factor Elf-2 OS=Mus musculus GN=Elf2 PE=4 SV=1 - [V9GXK9_MOUSE]
Q8R050,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Mus musculus GN=Gspt1 PE=1 SV=2 - [ERF3A_MOUSE]
Q60872,Eukaryotic translation initiation factor 1A OS=Mus musculus GN=Eif1a PE=2 SV=3 - [IF1A_MOUSE]
Q6ZWX6,Eukaryotic translation initiation factor 2 subunit 1 OS=Mus musculus GN=Eif2s1 PE=1 SV=3 - [IF2A_MOUSE]
Q9QZ05,Eukaryotic translation initiation factor 2-alpha kinase 4 OS=Mus musculus GN=Eif2ak4 PE=1 SV=2 - [E2AK4_MOUSE]
Q9EST3,Eukaryotic translation initiation factor 4E transporter OS=Mus musculus GN=Eif4enif1 PE=1 SV=2 - [4ET_MOUSE]
O55135,Eukaryotic translation initiation factor 6 OS=Mus musculus GN=Eif6 PE=1 SV=2 - [IF6_MOUSE]
Q0VAV2,Exophilin-5 OS=Mus musculus GN=Exph5 PE=1 SV=1 - [EXPH5_MOUSE]
Q8VBV3,Exosome complex component RRP4 OS=Mus musculus GN=Exosc2 PE=2 SV=1 - [EXOS2_MOUSE]
P70428,Exostosin-2 OS=Mus musculus GN=Ext2 PE=1 SV=2 - [EXT2_MOUSE]
Q9WVL6,Exostosin-like 3 OS=Mus musculus GN=Extl3 PE=2 SV=2 - [EXTL3_MOUSE]
Q9CRT8,Exportin-T OS=Mus musculus GN=Xpot PE=2 SV=3 - [XPOT_MOUSE]
O09164,Extracellular superoxide dismutase [Cu-Zn] OS=Mus musculus GN=Sod3 PE=1 SV=1 - [SODE_MOUSE]
Q920B9,FACT complex subunit SPT16 OS=Mus musculus GN=Supt16h PE=1 SV=2 - [SP16H_MOUSE]
P56213,FAD-linked sulfhydryl oxidase ALR OS=Mus musculus GN=Gfer PE=2 SV=2 - [ALR_MOUSE]
Q78TU8,"Family with sequence similarity 107, member A OS=Mus musculus GN=Fam107a PE=2 SV=1 - [Q78TU8_MOUSE]"
A2ATK9,"Family with sequence similarity 171, member A1 OS=Mus musculus GN=Fam171a1 PE=2 SV=1 - [A2ATK9_MOUSE]"
Q61160,FAS-associated death domain protein OS=Mus musculus GN=Fadd PE=1 SV=1 - [FADD_MOUSE]
Q8K0X8,Fasciculation and elongation protein zeta-1 OS=Mus musculus GN=Fez1 PE=1 SV=2 - [FEZ1_MOUSE]
Q7TMV3,FAST kinase domain-containing protein 5 OS=Mus musculus GN=Fastkd5 PE=2 SV=1 - [FAKD5_MOUSE]
P11404,"Fatty acid-binding protein, heart OS=Mus musculus GN=Fabp3 PE=1 SV=5 - [FABPH_MOUSE]"
Q8C7B6,F-box and leucine-rich protein 22 OS=Mus musculus GN=Fbxl22 PE=1 SV=1 - [FXL22_MOUSE]
Q78JE5,F-box only protein 22 OS=Mus musculus GN=Fbxo22 PE=2 SV=2 - [FBX22_MOUSE]
Q9CPU7,F-box only protein 32 OS=Mus musculus GN=Fbxo32 PE=2 SV=1 - [FBX32_MOUSE]
P62932,F-box only protein 40 OS=Mus musculus GN=Fbxo40 PE=2 SV=1 - [FBX40_MOUSE]
Q6NS60,F-box only protein 41 OS=Mus musculus GN=Fbxo41 PE=1 SV=3 - [FBX41_MOUSE]
Q5SUS0,F-box/WD repeat-containing protein 10 OS=Mus musculus GN=Fbxw10 PE=2 SV=1 - [FBW10_MOUSE]
Q3USJ8,FCH and double SH3 domains protein 2 OS=Mus musculus GN=Fchsd2 PE=1 SV=2 - [FCSD2_MOUSE]
A3KGK3,Fer-1-like protein 4 OS=Mus musculus GN=Fer1l4 PE=2 SV=3 - [FR1L4_MOUSE]
P0DM40,Fer-1-like protein 5 OS=Mus musculus GN=Fer1l5 PE=1 SV=1 - [FR1L5_MOUSE]
H3BIZ7,FERM domain-containing protein 4A OS=Mus musculus GN=Frmd4a PE=1 SV=1 - [H3BIZ7_MOUSE]
F6UTB8,FGFR1 oncogene partner (Fragment) OS=Mus musculus GN=Fgfr1op PE=4 SV=1 - [F6UTB8_MOUSE]
E9PV24,Fibrinogen alpha chain OS=Mus musculus GN=Fga PE=2 SV=1 - [FIBA_MOUSE]
Q8VCM7,Fibrinogen gamma chain OS=Mus musculus GN=Fgg PE=1 SV=1 - [FIBG_MOUSE]
P61148,Fibroblast growth factor 1 OS=Mus musculus GN=Fgf1 PE=2 SV=1 - [FGF1_MOUSE]
E9QNJ9,Fibroblast growth factor receptor OS=Mus musculus GN=Fgfr3 PE=3 SV=1 - [E9QNJ9_MOUSE]
Q8BLU0,Fibronectin leucine rich transmembrane protein 2 OS=Mus musculus GN=Flrt2 PE=1 SV=1 - [Q8BLU0_MOUSE]
A2ARZ3,Fibrous sheath-interacting protein 2 OS=Mus musculus GN=Fsip2 PE=1 SV=3 - [FSIP2_MOUSE]
G3X9U9,"Fission 1 (Mitochondrial outer membrane) homolog (Yeast), isoform CRA_c OS=Mus musculus GN=Fis1 PE=4 SV=1 - [G3X9U9_MOUSE]"
Q6P9Q6,FK506-binding protein 15 OS=Mus musculus GN=Fkbp15 PE=1 SV=2 - [FKB15_MOUSE]
Q5SS83,"Flotillin 2, isoform CRA_a OS=Mus musculus GN=Flot2 PE=4 SV=1 - [Q5SS83_MOUSE]"
Q5STE3,Follistatin-related protein 4 OS=Mus musculus GN=Fstl4 PE=2 SV=1 - [FSTL4_MOUSE]
Q9R1E0,Forkhead box protein O1 OS=Mus musculus GN=Foxo1 PE=1 SV=2 - [FOXO1_MOUSE]
E9PUK3,Formin-binding protein 1-like OS=Mus musculus GN=Fnbp1l PE=1 SV=1 - [E9PUK3_MOUSE]
A2AEX8,"Four and a half LIM domains 1, isoform CRA_b OS=Mus musculus GN=Fhl1 PE=4 SV=1 - [A2AEX8_MOUSE]"
P35922,Fragile X mental retardation protein 1 homolog OS=Mus musculus GN=Fmr1 PE=1 SV=1 - [FMR1_MOUSE]
Q9WVR4,Fragile X mental retardation syndrome-related protein 2 OS=Mus musculus GN=Fxr2 PE=1 SV=1 - [FXR2_MOUSE]
Q6NVD0,FRAS1-related extracellular matrix protein 2 OS=Mus musculus GN=Frem2 PE=2 SV=2 - [FREM2_MOUSE]
Q61091,Frizzled-8 OS=Mus musculus GN=Fzd8 PE=1 SV=2 - [FZD8_MOUSE]
Q8VDC1,FYVE and coiled-coil domain-containing protein 1 OS=Mus musculus GN=Fyco1 PE=1 SV=1 - [FYCO1_MOUSE]
Q91ZT5,"FYVE, RhoGEF and PH domain-containing protein 4 OS=Mus musculus GN=Fgd4 PE=2 SV=1 - [FGD4_MOUSE]"
E9QKY4,"FYVE, RhoGEF and PH domain-containing protein 5 OS=Mus musculus GN=Fgd5 PE=1 SV=1 - [E9QKY4_MOUSE]"
Q69ZL1,"FYVE, RhoGEF and PH domain-containing protein 6 OS=Mus musculus GN=Fgd6 PE=1 SV=2 - [FGD6_MOUSE]"
Q3UNH4,G protein-regulated inducer of neurite outgrowth 1 OS=Mus musculus GN=Gprin1 PE=1 SV=2 - [GRIN1_MOUSE]
Q8BWS5,G protein-regulated inducer of neurite outgrowth 3 OS=Mus musculus GN=Gprin3 PE=1 SV=1 - [GRIN3_MOUSE]
P61315,Galactose-3-O-sulfotransferase 3 OS=Mus musculus GN=Gal3st3 PE=2 SV=1 - [G3ST3_MOUSE]
P16045,Galectin-1 OS=Mus musculus GN=Lgals1 PE=1 SV=3 - [LEG1_MOUSE]
Q8VED9,Galectin-related protein OS=Mus musculus GN=Lgalsl PE=2 SV=1 - [LEGL_MOUSE]
Q6K1E7,Gametogenetin-binding protein 1 OS=Mus musculus GN=Ggnbp1 PE=1 SV=2 - [GGNB1_MOUSE]
Q9D6F4,Gamma-aminobutyric acid receptor subunit alpha-4 OS=Mus musculus GN=Gabra4 PE=2 SV=1 - [GBRA4_MOUSE]
P63137,Gamma-aminobutyric acid receptor subunit beta-2 OS=Mus musculus GN=Gabrb2 PE=1 SV=2 - [GBRB2_MOUSE]
P63080,Gamma-aminobutyric acid receptor subunit beta-3 OS=Mus musculus GN=Gabrb3 PE=2 SV=1 - [GBRB3_MOUSE]
P56476,Gamma-aminobutyric acid receptor subunit rho-2 OS=Mus musculus GN=Gabrr2 PE=2 SV=4 - [GBRR2_MOUSE]
Q8R3R8,Gamma-aminobutyric acid receptor-associated protein-like 1 OS=Mus musculus GN=Gabarapl1 PE=1 SV=2 - [GBRL1_MOUSE]
Q60928,Gamma-glutamyltranspeptidase 1 OS=Mus musculus GN=Ggt1 PE=1 SV=1 - [GGT1_MOUSE]
Q9D4F8,Gamma-tubulin complex component 4 OS=Mus musculus GN=Tubgcp4 PE=2 SV=2 - [GCP4_MOUSE]
Q60648,Ganglioside GM2 activator OS=Mus musculus GN=Gm2a PE=1 SV=2 - [SAP3_MOUSE]
P52787,Gastric intrinsic factor OS=Mus musculus GN=Gif PE=2 SV=2 - [IF_MOUSE]
Q8R1I2,Gastrin-releasing peptide OS=Mus musculus GN=Grp PE=1 SV=1 - [GRP_MOUSE]
Q3TLS3,GDP-D-glucose phosphorylase 1 OS=Mus musculus GN=Gdpgp1 PE=2 SV=2 - [GDPP1_MOUSE]
P23591,GDP-L-fucose synthase OS=Mus musculus GN=Tsta3 PE=2 SV=3 - [FCL_MOUSE]
Q8K0C9,"GDP-mannose 4,6 dehydratase OS=Mus musculus GN=Gmds PE=2 SV=1 - [GMDS_MOUSE]"
Q3ULG3,"Gene model 694, (NCBI) OS=Mus musculus GN=Gm694 PE=2 SV=1 - [Q3ULG3_MOUSE]"
Q3TML4,"Gene model 773, (NCBI) OS=Mus musculus GN=Gm773 PE=2 SV=1 - [Q3TML4_MOUSE]"
Q8R2T8,General transcription factor 3C polypeptide 5 OS=Mus musculus GN=Gtf3c5 PE=2 SV=2 - [TF3C5_MOUSE]
Q8BUV3,Gephyrin OS=Mus musculus GN=Gphn PE=1 SV=2 - [GEPH_MOUSE]
A0JNY3,Gephyrin OS=Mus musculus GN=Gphn PE=2 SV=1 - [A0JNY3_MOUSE]
Q9JHK4,Geranylgeranyl transferase type-2 subunit alpha OS=Mus musculus GN=Rabggta PE=2 SV=1 - [PGTA_MOUSE]
Q3TVF4,Geranylgeranyl transferase type-2 subunit beta OS=Mus musculus GN=Rabggtb PE=2 SV=1 - [Q3TVF4_MOUSE]
Q9WUU9,Germinal-center associated nuclear protein OS=Mus musculus GN=Mcm3ap PE=1 SV=2 - [GANP_MOUSE]
Q7TPG0,GI:13385330 OS=Mus musculus GN=1700010I14Rik PE=4 SV=1 - [Q7TPG0_MOUSE]
Q00612,Glucose-6-phosphate 1-dehydrogenase X OS=Mus musculus GN=G6pdx PE=1 SV=3 - [G6PD1_MOUSE]
P17439,Glucosylceramidase OS=Mus musculus GN=Gba PE=1 SV=1 - [GLCM_MOUSE]
P48318,Glutamate decarboxylase 1 OS=Mus musculus GN=Gad1 PE=2 SV=2 - [DCE1_MOUSE]
P23818,Glutamate receptor 1 OS=Mus musculus GN=Gria1 PE=1 SV=1 - [GRIA1_MOUSE]
P23819,Glutamate receptor 2 OS=Mus musculus GN=Gria2 PE=1 SV=3 - [GRIA2_MOUSE]
Q9Z2W8,Glutamate receptor 4 OS=Mus musculus GN=Gria4 PE=1 SV=2 - [GRIA4_MOUSE]
Q60934,"Glutamate receptor ionotropic, kainate 1 OS=Mus musculus GN=Grik1 PE=2 SV=2 - [GRIK1_MOUSE]"
P35438,"Glutamate receptor ionotropic, NMDA 1 OS=Mus musculus GN=Grin1 PE=1 SV=1 - [NMDZ1_MOUSE]"
Q03391,"Glutamate receptor ionotropic, NMDA 2D OS=Mus musculus GN=Grin2d PE=2 SV=3 - [NMDE4_MOUSE]"
F7ARC5,"Glutamate receptor ionotropic, NMDA 3B (Fragment) OS=Mus musculus GN=Grin3b PE=4 SV=1 - [F7ARC5_MOUSE]"
Q925T6,Glutamate receptor-interacting protein 1 OS=Mus musculus GN=Grip1 PE=1 SV=1 - [GRIP1_MOUSE]
P97494,Glutamate--cysteine ligase catalytic subunit OS=Mus musculus GN=Gclc PE=2 SV=4 - [GSH1_MOUSE]
O09172,Glutamate--cysteine ligase regulatory subunit OS=Mus musculus GN=Gclm PE=2 SV=1 - [GSH0_MOUSE]
Q810D6,Glutamate-rich WD repeat-containing protein 1 OS=Mus musculus GN=Grwd1 PE=2 SV=2 - [GRWD1_MOUSE]
Q9QUH0,Glutaredoxin-1 OS=Mus musculus GN=Glrx PE=1 SV=3 - [GLRX1_MOUSE]
Q9CQM9,Glutaredoxin-3 OS=Mus musculus GN=Glrx3 PE=1 SV=1 - [GLRX3_MOUSE]
Q9CWB7,Glutaredoxin-like protein C5orf63 homolog OS=Mus musculus PE=1 SV=1 - [YD286_MOUSE]
A0A0A0MQ68,"Glutaryl-CoA dehydrogenase, mitochondrial OS=Mus musculus GN=Gcdh PE=4 SV=1 - [A0A0A0MQ68_MOUSE]"
Q76LV0,Glutathione peroxidase OS=Mus musculus GN=Gpx4 PE=2 SV=2 - [Q76LV0_MOUSE]
Q9DCM2,Glutathione S-transferase kappa 1 OS=Mus musculus GN=Gstk1 PE=1 SV=3 - [GSTK1_MOUSE]
O09131,Glutathione S-transferase omega-1 OS=Mus musculus GN=Gsto1 PE=2 SV=2 - [GSTO1_MOUSE]
Q3ULJ0,Glycerol-3-phosphate dehydrogenase 1-like protein OS=Mus musculus GN=Gpd1l PE=1 SV=2 - [GPD1L_MOUSE]
Q640M6,Glycerophosphodiester phosphodiesterase domain-containing protein 5 OS=Mus musculus GN=Gdpd5 PE=2 SV=1 - [GDPD5_MOUSE]
Q9D964,"Glycine amidinotransferase, mitochondrial OS=Mus musculus GN=Gatm PE=1 SV=1 - [GATM_MOUSE]"
Q7TNC8,Glycine receptor subunit alpha-2 OS=Mus musculus GN=Glra2 PE=2 SV=1 - [GLRA2_MOUSE]
Q9CZD3,Glycine--tRNA ligase OS=Mus musculus GN=Gars PE=1 SV=1 - [SYG_MOUSE]
Q9Z1E4,"Glycogen [starch] synthase, muscle OS=Mus musculus GN=Gys1 PE=1 SV=2 - [GYS1_MOUSE]"
D3Z7E5,Glycogen synthase kinase-3 alpha OS=Mus musculus GN=Gsk3a PE=4 SV=1 - [D3Z7E5_MOUSE]
E9QAQ5,Glycogen synthase kinase-3 beta OS=Mus musculus GN=Gsk3b PE=1 SV=1 - [E9QAQ5_MOUSE]
O70310,Glycylpeptide N-tetradecanoyltransferase 1 OS=Mus musculus GN=Nmt1 PE=1 SV=1 - [NMT1_MOUSE]
Q8CFK1,Glycylpeptide N-tetradecanoyltransferase OS=Mus musculus GN=Nmt2 PE=2 SV=1 - [Q8CFK1_MOUSE]
Q8R3X6,Glypican 6 OS=Mus musculus GN=Gpc6 PE=2 SV=1 - [Q8R3X6_MOUSE]
H3BJQ8,Glypican-5 OS=Mus musculus GN=Gpc5 PE=3 SV=1 - [H3BJQ8_MOUSE]
Q9DCZ1,GMP reductase 1 OS=Mus musculus GN=Gmpr PE=2 SV=1 - [GMPR1_MOUSE]
Q99L27,GMP reductase 2 OS=Mus musculus GN=Gmpr2 PE=2 SV=2 - [GMPR2_MOUSE]
Q3THK7,GMP synthase [glutamine-hydrolyzing] OS=Mus musculus GN=Gmps PE=1 SV=2 - [GUAA_MOUSE]
Q9QYE6,Golgin subfamily A member 5 OS=Mus musculus GN=Golga5 PE=1 SV=2 - [GOGA5_MOUSE]
Q8R2X8,Golgin-45 OS=Mus musculus GN=Blzf1 PE=2 SV=2 - [GO45_MOUSE]
E9Q507,GON-4-like protein OS=Mus musculus GN=Gon4l PE=4 SV=1 - [E9Q507_MOUSE]
Q562G0,GPI ethanolamine phosphate transferase 3 OS=Mus musculus GN=Pigo PE=2 SV=1 - [Q562G0_MOUSE]
F6U4X6,GPI transamidase component PIG-T (Fragment) OS=Mus musculus GN=Pigt PE=4 SV=1 - [F6U4X6_MOUSE]
Q8K209,G-protein coupled receptor 56 OS=Mus musculus GN=Gpr56 PE=1 SV=1 - [GPR56_MOUSE]
Q8VHN7,G-protein coupled receptor 98 OS=Mus musculus GN=Gpr98 PE=2 SV=1 - [GPR98_MOUSE]
Q923Z0,G-protein coupled receptor family C group 5 member B OS=Mus musculus GN=Gprc5b PE=2 SV=1 - [GPC5B_MOUSE]
Q5U4C1,G-protein coupled receptor-associated sorting protein 1 OS=Mus musculus GN=Gprasp1 PE=1 SV=1 - [GASP1_MOUSE]
Q3U9N4,Granulins OS=Mus musculus GN=Grn PE=2 SV=1 - [Q3U9N4_MOUSE]
Q9Z1S8,GRB2-associated-binding protein 2 OS=Mus musculus GN=Gab2 PE=1 SV=2 - [GAB2_MOUSE]
Q8C5Q4,G-rich sequence factor 1 OS=Mus musculus GN=Grsf1 PE=1 SV=2 - [GRSF1_MOUSE]
Q9D4H2,GRIP and coiled-coil domain-containing protein 1 OS=Mus musculus GN=Gcc1 PE=1 SV=2 - [GCC1_MOUSE]
Q8CHG3,GRIP and coiled-coil domain-containing protein 2 OS=Mus musculus GN=Gcc2 PE=1 SV=2 - [GCC2_MOUSE]
Q9CR59,Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Mus musculus GN=Gadd45gip1 PE=2 SV=1 - [G45IP_MOUSE]
B1ATI9,Growth arrest-specific protein 7 OS=Mus musculus GN=Gas7 PE=4 SV=1 - [B1ATI9_MOUSE]
B1AT92,Growth factor receptor-bound protein 2 OS=Mus musculus GN=Grb2 PE=4 SV=1 - [B1AT92_MOUSE]
Q61411,GTPase HRas OS=Mus musculus GN=Hras PE=1 SV=2 - [RASH_MOUSE]
P08556,GTPase NRas OS=Mus musculus GN=Nras PE=2 SV=1 - [RASN_MOUSE]
P62827,GTP-binding nuclear protein Ran OS=Mus musculus GN=Ran PE=1 SV=3 - [RAN_MOUSE]
Q9R111,Guanine deaminase OS=Mus musculus GN=Gda PE=1 SV=1 - [GUAD_MOUSE]
Q9R0C8,Guanine nucleotide exchange factor VAV3 OS=Mus musculus GN=Vav3 PE=1 SV=2 - [VAV3_MOUSE]
P61953,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11 OS=Mus musculus GN=Gng11 PE=1 SV=1 - [GBG11_MOUSE]
Q9DAS9,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Mus musculus GN=Gng12 PE=1 SV=3 - [GBG12_MOUSE]
P63213,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 OS=Mus musculus GN=Gng2 PE=2 SV=2 - [GBG2_MOUSE]
P62874,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Mus musculus GN=Gnb1 PE=1 SV=3 - [GBB1_MOUSE]
P30677,Guanine nucleotide-binding protein subunit alpha-14 OS=Mus musculus GN=Gna14 PE=1 SV=2 - [GNA14_MOUSE]
P68040,Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Mus musculus GN=Gnb2l1 PE=1 SV=3 - [GBLP_MOUSE]
P29387,Guanine nucleotide-binding protein subunit beta-4 OS=Mus musculus GN=Gnb4 PE=2 SV=4 - [GBB4_MOUSE]
G3X9Q2,Guanine nucleotide-binding protein subunit gamma OS=Mus musculus GN=Gng7 PE=3 SV=1 - [G3X9Q2_MOUSE]
F6VFS9,Guanylate cyclase OS=Mus musculus GN=Gucy2d PE=3 SV=1 - [F6VFS9_MOUSE]
Q564G0,Guanylate kinase OS=Mus musculus GN=Guk1 PE=2 SV=1 - [Q564G0_MOUSE]
O70496,H(+)/Cl(-) exchange transporter 7 OS=Mus musculus GN=Clcn7 PE=1 SV=1 - [CLCN7_MOUSE]
Q9QWV1,H2-O alpha OS=Mus musculus GN=H2-Oa PE=2 SV=1 - [Q9QWV1_MOUSE]
Q9EP53,Hamartin OS=Mus musculus GN=Tsc1 PE=1 SV=1 - [TSC1_MOUSE]
Q3TC93,HCLS1-binding protein 3 OS=Mus musculus GN=Hs1bp3 PE=1 SV=2 - [H1BP3_MOUSE]
Q8BM72,Heat shock 70 kDa protein 13 OS=Mus musculus GN=Hspa13 PE=2 SV=1 - [HSP13_MOUSE]
Q5ND04,Heat shock factor protein 5 OS=Mus musculus GN=Hsf5 PE=2 SV=1 - [HSF5_MOUSE]
Q9CQZ1,Heat shock factor-binding protein 1 OS=Mus musculus GN=Hsbp1 PE=2 SV=1 - [HSBP1_MOUSE]
Q5EBG6,Heat shock protein beta-6 OS=Mus musculus GN=Hspb6 PE=2 SV=1 - [HSPB6_MOUSE]
O70252,Heme oxygenase 2 OS=Mus musculus GN=Hmox2 PE=2 SV=1 - [HMOX2_MOUSE]
Q6SKR2,"HemK methyltransferase family member 2, isoform CRA_c OS=Mus musculus GN=N6amt1 PE=2 SV=1 - [Q6SKR2_MOUSE]"
B1ATZ0,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Mus musculus GN=Hgs PE=1 SV=1 - [B1ATZ0_MOUSE]
P51859,Hepatoma-derived growth factor OS=Mus musculus GN=Hdgf PE=1 SV=2 - [HDGF_MOUSE]
D3YTQ3,Heterogeneous nuclear ribonucleoprotein D-like OS=Mus musculus GN=Hnrnpdl PE=4 SV=1 - [D3YTQ3_MOUSE]
Q00PI9,Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Mus musculus GN=Hnrnpul2 PE=1 SV=2 - [HNRL2_MOUSE]
D6RH57,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A OS=Mus musculus GN=Pde9a PE=4 SV=1 - [D6RH57_MOUSE]"
Q8BGY9,High affinity choline transporter 1 OS=Mus musculus GN=Slc5a7 PE=1 SV=1 - [SC5A7_MOUSE]
Q9JL35,High mobility group nucleosome-binding domain-containing protein 5 OS=Mus musculus GN=Hmgn5 PE=1 SV=2 - [HMGN5_MOUSE]
P63158,High mobility group protein B1 OS=Mus musculus GN=Hmgb1 PE=1 SV=2 - [HMGB1_MOUSE]
P17095,High mobility group protein HMG-I/HMG-Y OS=Mus musculus GN=Hmga1 PE=1 SV=4 - [HMGA1_MOUSE]
Q91VF2,Histamine N-methyltransferase OS=Mus musculus GN=Hnmt PE=1 SV=1 - [HNMT_MOUSE]
P35492,Histidine ammonia-lyase OS=Mus musculus GN=Hal PE=1 SV=1 - [HUTH_MOUSE]
